GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(PlayerName-1),ColumnPieceCount(0),ColumnPieceCount(11),ColumnPieceCount(1),ColumnPieceCount(2),ColumnPieceCount(3),ColumnPieceCount(4),ColumnPieceCount(5),ColumnPieceCount(6),ColumnPieceCount(7),ColumnPieceCount(8),ColumnPieceCount(9),ColumnPieceCount(10)
-1427677949,Connect4,27,GAME_OVER,56,1,2,761,connect4-64,1.0,-1.0,connect4-64,4,0,8,8,8,4,8,8,8,0,0,0
655181053,Connect4,25,GAME_OVER,51,0,2,762,connect4-64,-1.0,1.0,connect4-64,8,0,3,8,4,8,8,8,4,0,0,0
-1701074097,Connect4,20,GAME_OVER,41,0,2,763,connect4-64,-1.0,1.0,connect4-64,6,0,6,1,8,8,5,3,4,0,0,0
2077109956,Connect4,11,GAME_OVER,23,0,2,764,connect4-64,-1.0,1.0,connect4-64,0,0,3,2,7,5,4,1,1,0,0,0
-951209095,Connect4,28,GAME_OVER,58,1,2,765,connect4-64,1.0,-1.0,connect4-64,5,0,5,8,8,8,8,8,8,0,0,0
-1812811942,Connect4,9,GAME_OVER,19,0,2,766,connect4-64,-1.0,1.0,connect4-64,0,0,4,5,3,3,3,1,0,0,0,0
640328778,Connect4,31,GAME_OVER,63,0,2,767,connect4-64,-1.0,1.0,connect4-64,8,0,8,8,8,8,8,7,8,0,0,0
-329328708,Connect4,12,GAME_OVER,26,1,2,768,connect4-64,1.0,-1.0,connect4-64,1,0,2,2,5,5,3,5,3,0,0,0
-1484887973,Connect4,29,GAME_OVER,59,0,2,769,connect4-64,-1.0,1.0,connect4-64,8,0,8,8,8,3,8,8,8,0,0,0
1259388350,Connect4,12,GAME_OVER,25,0,2,770,connect4-64,-1.0,1.0,connect4-64,1,0,0,5,8,3,5,2,1,0,0,0
-1889554590,Connect4,18,GAME_OVER,38,1,2,771,connect4-64,1.0,-1.0,connect4-64,7,0,4,7,7,0,6,6,1,0,0,0
-612480696,Connect4,19,GAME_OVER,39,0,2,772,connect4-64,-1.0,1.0,connect4-64,4,0,0,5,7,7,5,6,5,0,0,0
1677232334,Connect4,26,GAME_OVER,53,0,2,773,connect4-64,-1.0,1.0,connect4-64,8,0,8,8,8,5,8,0,8,0,0,0
-717301125,Connect4,28,GAME_OVER,57,0,2,774,connect4-64,-1.0,1.0,connect4-64,3,0,8,8,8,8,8,8,6,0,0,0
1813255660,Connect4,29,GAME_OVER,59,0,2,775,connect4-64,-1.0,1.0,connect4-64,8,0,8,8,8,8,8,3,8,0,0,0
740939715,Connect4,11,GAME_OVER,23,0,2,776,connect4-64,-1.0,1.0,connect4-64,3,0,1,4,4,2,6,3,0,0,0,0
-1857164818,Connect4,21,GAME_OVER,44,1,2,777,connect4-64,1.0,-1.0,connect4-64,5,0,3,7,7,3,7,4,8,0,0,0
1331142169,Connect4,19,GAME_OVER,40,1,2,778,connect4-64,1.0,-1.0,connect4-64,0,0,2,6,7,8,6,3,8,0,0,0
2075973771,Connect4,26,GAME_OVER,53,0,2,779,connect4-64,-1.0,1.0,connect4-64,8,0,8,1,8,8,4,8,8,0,0,0
-223163637,Connect4,16,GAME_OVER,34,1,2,780,connect4-64,1.0,-1.0,connect4-64,2,0,3,4,5,7,7,5,1,0,0,0
2112866322,Connect4,21,GAME_OVER,44,1,2,781,connect4-64,1.0,-1.0,connect4-64,4,0,4,8,8,8,8,2,2,0,0,0
1545582402,Connect4,17,GAME_OVER,35,0,2,782,connect4-64,-1.0,1.0,connect4-64,1,0,2,7,6,6,6,4,3,0,0,0
-2012173795,Connect4,23,GAME_OVER,48,1,2,783,connect4-64,1.0,-1.0,connect4-64,2,0,8,6,8,8,8,0,8,0,0,0
1023609240,Connect4,15,GAME_OVER,32,1,2,784,connect4-64,1.0,-1.0,connect4-64,1,0,0,6,7,2,5,7,4,0,0,0
932157012,Connect4,25,GAME_OVER,52,1,2,785,connect4-64,1.0,-1.0,connect4-64,8,0,8,2,8,8,8,2,8,0,0,0
782163457,Connect4,18,GAME_OVER,38,1,2,786,connect4-64,1.0,-1.0,connect4-64,5,0,6,2,5,6,3,6,5,0,0,0
56112344,Connect4,17,GAME_OVER,36,1,2,787,connect4-64,1.0,-1.0,connect4-64,3,0,2,2,5,7,6,4,7,0,0,0
-1910972207,Connect4,28,GAME_OVER,58,1,2,788,connect4-64,1.0,-1.0,connect4-64,8,0,8,8,4,8,8,8,6,0,0,0
-633421232,Connect4,21,GAME_OVER,44,1,2,789,connect4-64,1.0,-1.0,connect4-64,6,0,7,1,8,2,6,8,6,0,0,0
892880427,Connect4,8,GAME_OVER,18,1,2,790,connect4-64,1.0,-1.0,connect4-64,0,0,1,2,4,4,5,1,1,0,0,0
-207942225,Connect4,24,GAME_OVER,49,0,2,791,connect4-64,-1.0,1.0,connect4-64,8,0,8,7,8,3,6,4,5,0,0,0
2064023194,Connect4,8,GAME_OVER,17,0,2,792,connect4-64,-1.0,1.0,connect4-64,1,0,0,3,4,6,3,0,0,0,0,0
1558212650,Connect4,26,GAME_OVER,54,1,2,793,connect4-64,1.0,-1.0,connect4-64,8,0,8,1,8,8,8,5,8,0,0,0
548619548,Connect4,23,GAME_OVER,47,0,2,794,connect4-64,-1.0,1.0,connect4-64,1,0,4,8,8,8,8,8,2,0,0,0
-1877083654,Connect4,10,GAME_OVER,21,0,2,795,connect4-64,-1.0,1.0,connect4-64,0,0,4,5,4,2,5,1,0,0,0,0
-1753812943,Connect4,12,GAME_OVER,26,1,2,796,connect4-64,1.0,-1.0,connect4-64,0,0,4,3,4,6,7,0,2,0,0,0
-2043907370,Connect4,10,GAME_OVER,21,0,2,797,connect4-64,-1.0,1.0,connect4-64,0,0,3,4,4,6,3,0,1,0,0,0
-1204019545,Connect4,10,GAME_OVER,21,0,2,798,connect4-64,-1.0,1.0,connect4-64,0,0,4,4,4,2,6,1,0,0,0,0
-959616171,Connect4,8,GAME_OVER,17,0,2,799,connect4-64,-1.0,1.0,connect4-64,0,0,3,5,3,3,3,0,0,0,0,0
-578569670,Connect4,9,GAME_OVER,20,1,2,800,connect4-64,1.0,-1.0,connect4-64,0,0,0,3,4,4,6,3,0,0,0,0
-1816984429,Connect4,28,GAME_OVER,58,1,2,801,connect4-64,1.0,-1.0,connect4-64,8,0,8,8,8,8,8,8,2,0,0,0
-546296505,Connect4,27,GAME_OVER,56,1,2,802,connect4-64,1.0,-1.0,connect4-64,8,0,8,8,8,3,8,5,8,0,0,0
-478587449,Connect4,17,GAME_OVER,35,0,2,803,connect4-64,-1.0,1.0,connect4-64,5,0,3,6,7,0,5,7,2,0,0,0
1170431511,Connect4,16,GAME_OVER,33,0,2,804,connect4-64,-1.0,1.0,connect4-64,4,0,6,6,7,2,4,3,1,0,0,0
-985332809,Connect4,29,GAME_OVER,59,0,2,805,connect4-64,-1.0,1.0,connect4-64,8,0,8,8,8,3,8,8,8,0,0,0
-1794647655,Connect4,10,GAME_OVER,22,1,2,806,connect4-64,1.0,-1.0,connect4-64,4,0,2,6,7,0,2,0,1,0,0,0
1769325606,Connect4,19,GAME_OVER,40,1,2,807,connect4-64,1.0,-1.0,connect4-64,1,0,5,5,4,8,7,5,5,0,0,0
